date,registration_today,registration_total,sessions_today,sessions_total,month_name,day_name
2021-05-24,2826412.0,234827993.0,0.0,9601152.0,May,Monday
2021-05-25,2538701.0,237392405.0,0.0,9133572.0,May,Tuesday
2021-05-26,2536445.0,234657238.0,0.0,9309344.0,May,Wednesday
2021-05-27,3294797.0,237977091.0,0.0,10482875.0,May,Thursday
2021-05-28,3388172.0,241402939.0,0.0,11340655.0,May,Friday
2021-05-29,3091626.0,243619132.0,0.0,11069278.0,May,Saturday
2021-05-30,2052041.0,245696236.0,0.0,5941306.0,May,Sunday
2021-05-31,2973547.0,248693334.0,0.0,10623839.0,May,Monday
2021-06-01,2744966.0,251468806.0,0.0,9930062.0,June,Tuesday
2021-06-02,2719747.0,254215296.0,0.0,10324274.0,June,Wednesday
2021-06-03,3060297.0,257305439.0,0.0,11534619.0,June,Thursday
2021-06-04,3763922.0,259868896.0,0.0,13131165.0,June,Friday
2021-06-05,3305723.0,263206111.0,0.0,12775190.0,June,Saturday
2021-06-06,2411665.0,265643700.0,0.0,7228531.0,June,Sunday
2021-06-07,3398052.0,268355641.0,0.0,12625429.0,June,Monday
2021-06-08,2967432.0,271352007.0,0.0,11506400.0,June,Tuesday
2021-06-09,3321460.0,274702204.0,0.0,11932713.0,June,Wednesday
2021-06-10,3124680.0,277138921.0,0.0,12035310.0,June,Thursday
2021-06-11,3032473.0,279939120.0,0.0,12044221.0,June,Friday
2021-06-12,3022574.0,282700282.0,0.0,12844959.0,June,Saturday
2021-06-13,1991088.0,284464358.0,0.0,7549518.0,June,Sunday
2021-06-14,3606358.0,287867651.0,0.0,14048206.0,June,Monday
2021-06-15,2695239.0,290371009.0,0.0,11834657.0,June,Tuesday
2021-06-16,3243153.0,293451313.0,0.0,14252163.0,June,Wednesday
2021-06-17,3019816.0,296207117.0,0.0,13293750.0,June,Thursday
2021-06-18,2930239.0,298596825.0,0.0,12991192.0,June,Friday
2021-06-19,3199076.0,301009646.0,0.0,14175307.0,June,Saturday
2021-06-20,3559300.0,303818923.0,0.0,12736409.0,June,Sunday
2021-06-21,7936690.0,311221148.0,0.0,35010311.0,June,Monday
2021-06-22,5442370.0,316415790.0,0.0,23436266.0,June,Tuesday
2021-06-23,6305844.0,322475958.0,0.0,27105115.0,June,Wednesday
2021-06-24,23059.0,322257844.0,0.0,16161853.0,June,Thursday
